Designator,Footprint,Quantity,Value,LCSC Part #
BT101,BatteryHolder_1xAA,1,Battery,
C101,0805,1,1u,
"C102, C103, C104, C105, C106, C107",0805,6,10u,
D101,0805,1,LED,
J101,Jack_3.5mm_Lumberg_1503_07_Horizontal,1,In 1 + Sync,
J102,Jack_3.5mm_Lumberg_1503_07_Horizontal,1,In 2,
J103,Jack_3.5mm_Lumberg_1503_07_Horizontal,1,In 3,
J104,Jack_3.5mm_Lumberg_1503_07_Horizontal,1,Out Stereo,
J105,Jack_3.5mm_Lumberg_1503_07_Horizontal,1,Sync1,
J106,Jack_3.5mm_Lumberg_1503_07_Horizontal,1,Sync2,
JP101,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Out2R,
JP102,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Out2L,
JP103,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Out3R,
JP104,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Out3L,
JP105,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,InL,
JP106,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,InR,
JP107,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,pwr,
R101,0805,1,1k,
"R102, R103, R104, R105, R106, R107",0805,6,10k,
SW102,SW_Push_2P2T_Toggle_CK_PVA2OAH5xxxxxxV2,1,SW_Push_DPDT,
U101,TDA1308_PCB,1,~,
